;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Device number: 2016951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;#1;#2;#3;#4;#5;#7;#8;#9;#10;#11;#12;#13;#14;#15;#16;#17;#18;#19;#20;#21;#22;#23;#24;#25;#26;#27;#28;#29;#30;#31;#32;#33;#34;#35;#36;#37;#38;#39;#40;#41;#42;#43;#44;#45;#46;#47;#48;#49;#50;#51;#52;#53;#54;#55;#56;#57;#58;#59;#60;#61
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026
Time;12:47:31;12:47:41;12:47:50;12:48:02;12:48:09;12:48:28;12:49:57;12:50:05;12:50:14;12:50:22;12:52:17;12:52:30;12:55:01;12:55:08;12:55:15;12:55:22;12:55:34;12:55:46;12:55:56;12:56:09;12:57:34;12:57:53;12:58:00;12:58:29;12:58:36;12:58:42;12:58:56;12:59:01;12:59:06;12:59:14;12:59:31;12:59:36;12:59:40;12:59:45;12:59:50;12:59:54;13:00:13;13:00:17;13:00:24;13:00:28;13:00:46;13:00:51;13:00:55;13:01:00;13:01:04;13:01:08;13:01:12;13:01:17;13:01:21;13:01:27;13:01:32;13:01:37;13:01:41;13:01:46;13:01:50;13:01:54;13:01:59;13:02:03;13:02:07;13:02:12
Sync. frequency [Hz];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
T_int [ms];100,00;41,41;25,00;20,02;15,99;12,50;12,50;10,52;9,43;8,77;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;401,37;179,77;117,98;87,53;69,61;57,89;50,00;44,58;39,95;36,11;33,06;30,40;28,41;25,00;25,00;25,00;25,00;21,29;20,42;19,64;708,46;330,71;222,80;170,23;139,56;119,28;100,00;100,00;85,74;79,13;72,29;67,88;63,48;59,91;57,08;50,00;50,00;50,00;50,00;50,00
Averages;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ev [lx] (CIE1931 2°);5,671E+03;1,349E+04;2,118E+04;2,884E+04;3,624E+04;4,344E+04;5,040E+04;5,746E+04;6,423E+04;7,109E+04;7,799E+04;8,445E+04;9,038E+04;9,667E+04;1,028E+05;1,087E+05;1,146E+05;1,203E+05;1,259E+05;1,313E+05;3,084E+01;7,226E+01;1,135E+02;1,550E+02;1,956E+02;2,357E+02;2,754E+02;3,159E+02;3,551E+02;3,951E+02;4,329E+02;4,709E+02;5,077E+02;5,465E+02;5,842E+02;6,219E+02;6,550E+02;6,941E+02;7,282E+02;7,621E+02;1,138E+00;1,947E+00;3,187E+00;4,346E+00;5,706E+00;6,812E+00;8,505E+00;1,032E+01;1,041E+01;1,112E+01;1,355E+01;1,390E+01;1,538E+01;1,760E+01;1,900E+01;2,018E+01;2,070E+01;2,150E+01;2,386E+01;2,443E+01
Ee [W/sqm] (230-1000nm);1,801E+01;4,273E+01;6,695E+01;9,108E+01;1,142E+02;1,368E+02;1,588E+02;1,809E+02;2,020E+02;2,234E+02;2,460E+02;2,655E+02;2,845E+02;3,042E+02;3,234E+02;3,422E+02;3,607E+02;3,789E+02;3,963E+02;4,129E+02;5,675E-01;1,338E+00;2,111E+00;2,870E+00;3,695E+00;4,377E+00;5,232E+00;5,987E+00;6,686E+00;7,461E+00;8,220E+00;9,027E+00;9,742E+00;1,055E+01;1,118E+01;1,199E+01;1,266E+01;1,348E+01;1,410E+01;1,486E+01;5,855E-01;1,341E+00;2,095E+00;2,828E+00;3,595E+00;4,294E+00;5,038E+00;5,726E+00;6,389E+00;7,062E+00;7,771E+00;8,440E+00;9,111E+00;9,747E+00;1,043E+01;1,111E+01;1,176E+01;1,233E+01;1,300E+01;1,361E+01
