x;0,3388;0,3395;0,3396;0,3394;0,3394;0,3394;0,3394;0,3392;0,3392;0,3390;0,3389;0,3388;0,3387;0,3389;0,3385;0,3386;0,3385;0,3385;0,3382;0,3382;0,6736;0,6736;0,6741;0,6743;0,6742;0,6738;0,6742;0,6740;0,6743;0,6744;0,6752;0,6752;0,6757;0,6754;0,6755;0,6757;0,6758;0,6760;0,6761;0,6762;0,7108;0,6213;0,6766;0,6352;0,6470;0,6740;0,7078;0,6673;0,6743;0,6735;0,6698;0,6714;0,6863;0,7066;0,6802;0,6751;0,6562;0,6785;0,6986;0,6673
y;0,3718;0,3708;0,3704;0,3698;0,3698;0,3693;0,3691;0,3688;0,3684;0,3682;0,3680;0,3677;0,3675;0,3674;0,3672;0,3672;0,3669;0,3668;0,3665;0,3662;0,3253;0,3253;0,3253;0,3253;0,3251;0,3251;0,3250;0,3248;0,3248;0,3246;0,3242;0,3240;0,3236;0,3237;0,3236;0,3234;0,3233;0,3231;0,3230;0,3228;0,2806;0,2539;0,2680;0,2560;0,2598;0,2567;0,2719;0,2844;0,2577;0,2820;0,2872;0,2771;0,2748;0,2801;0,2682;0,2841;0,2703;0,2724;0,2789;0,2684
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];1,91362E+01;7,65855E+01;1,40557E+02;2,06163E+02;2,72278E+02;3,37346E+02;4,04048E+02;4,70863E+02;5,37002E+02;6,03880E+02;6,71364E+02;7,36965E+02;8,03298E+02;8,76187E+02;9,40302E+02;1,00701E+03;1,07461E+03;1,13790E+03;1,20398E+03;1,26870E+03;3,79762E+01;6,07085E+01;8,41413E+01;1,07836E+02;1,31298E+02;1,55374E+02;1,77973E+02;2,00867E+02;2,22554E+02;2,44553E+02;2,62376E+02;2,84387E+02;3,02346E+02;3,29490E+02;3,49093E+02;3,68697E+02;3,88301E+02;4,07905E+02;4,27509E+02;4,47112E+02;2,97587E-01;7,29576E-01;1,15895E+00;1,61604E+00;2,06624E+00;2,51248E+00;2,96757E+00;3,45516E+00;3,89577E+00;4,37907E+00;4,84657E+00;5,30088E+00;5,76415E+00;6,21692E+00;6,69929E+00;7,23265E+00;7,53624E+00;7,70466E+00;7,85235E+00;8,06582E+00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
300;2,28430E-04;3,88077E-04;2,30766E-04;5,83271E-04;3,55024E-05;4,27328E-04;2,24801E-03;0,00000E+00;1,80693E-04;1,42010E-04;2,14702E-04;9,43076E-04;0,00000E+00;9,81163E-04;9,66675E-03;1,28430E-03;0,00000E+00;5,49311E-03;5,88698E-04;3,35354E-03;7,90850E-05;0,00000E+00;1,35545E-03;0,00000E+00;0,00000E+00;6,49186E-03;3,99499E-03;7,84930E-04;0,00000E+00;4,99374E-04;3,92465E-03;0,00000E+00;5,88698E-04;1,19178E-03;1,13055E-03;1,06933E-03;1,00811E-03;9,46887E-04;8,85665E-04;8,24443E-04;0,00000E+00;7,65660E-05;0,00000E+00;0,00000E+00;1,39560E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,52443E-04;1,95263E-04;0,00000E+00;0,00000E+00;3,68977E-04;8,76170E-05;1,42733E-04;1,26607E-04;3,40832E-04;8,56621E-04;0,00000E+00;4,86782E-04
301;2,97221E-04;1,19160E-05;2,28752E-04;2,82453E-05;0,00000E+00;2,75339E-04;2,04977E-04;0,00000E+00;1,90656E-05;0,00000E+00;2,26539E-05;9,95071E-05;3,24194E-04;0,00000E+00;8,95740E-04;5,26906E-05;8,85066E-03;3,74055E-03;0,00000E+00;1,05381E-04;1,00953E-03;0,00000E+00;3,81311E-05;0,00000E+00;0,00000E+00;6,84977E-04;4,21525E-04;0,00000E+00;0,00000E+00;3,84583E-03;0,00000E+00;0,00000E+00;0,00000E+00;6,68490E-04;7,00422E-04;7,32353E-04;7,64285E-04;7,96216E-04;8,28148E-04;8,60079E-04;0,00000E+00;7,85510E-05;0,00000E+00;0,00000E+00;1,19160E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,43520E-04;0,00000E+00;1,71564E-04;0,00000E+00;1,05662E-04;0,00000E+00;0,00000E+00;1,33587E-05;2,77762E-05;4,11088E-04;0,00000E+00;1,90011E-03
302;1,33752E-04;2,90952E-04;5,44148E-05;1,95778E-04;8,05822E-04;0,00000E+00;0,00000E+00;8,84029E-04;3,10942E-05;0,00000E+00;1,84732E-04;8,11434E-05;0,00000E+00;8,42593E-04;1,11713E-03;1,77112E-03;1,16958E-03;5,15601E-04;0,00000E+00;6,01534E-04;6,80457E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,53245E-03;7,72172E-03;0,00000E+00;0,00000E+00;4,09355E-03;5,84792E-04;5,84792E-04;0,00000E+00;4,29667E-04;6,70342E-04;5,68002E-04;4,65661E-04;3,63320E-04;2,60980E-04;1,58639E-04;5,62985E-05;0,00000E+00;0,00000E+00;1,04446E-04;8,01216E-05;2,33206E-05;0,00000E+00;0,00000E+00;8,69653E-05;6,19545E-04;1,05801E-04;2,11601E-04;3,17402E-04;0,00000E+00;6,52768E-04;0,00000E+00;1,11197E-03;2,31208E-04;1,10143E-03;0,00000E+00;2,39333E-04
303;0,00000E+00;0,00000E+00;3,18644E-04;1,03276E-03;1,39365E-03;0,00000E+00;1,14072E-04;6,64912E-05;1,59346E-04;8,75343E-04;9,46687E-04;4,15831E-04;5,63893E-04;2,20082E-03;5,72491E-03;5,50179E-03;0,00000E+00;4,62157E-03;0,00000E+00;3,08265E-03;3,83538E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;6,60567E-03;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,20189E-03;6,82027E-04;6,64389E-04;6,46750E-04;6,29111E-04;6,11473E-04;5,93834E-04;5,76196E-04;0,00000E+00;1,44134E-05;0,00000E+00;0,00000E+00;1,79192E-04;0,00000E+00;0,00000E+00;5,94041E-04;0,00000E+00;0,00000E+00;2,58624E-04;0,00000E+00;0,00000E+00;1,47291E-04;7,46497E-04;2,78786E-04;3,76783E-04;0,00000E+00;0,00000E+00;1,22650E-03
