location_name,month,month_name,room,city_file,measurement_table,measurement_setup,sun_included,patch,patch_almucantar,patch_azimuth,rows,mean_fit_rmse,lamp_schedule_csv,reconstructed_spectra_csv,reconstructed_plot
Singapore,5,May,G7,D:\Maarten\Alan_Cities\Per_City_Per_Month_Output\SG-SIN_Singapore_average_day_by_month.csv,spectral_horizontal_irradiance,1,true,,,,2,0.9764010228032212,C:\thesis\NPEC_Faketron\Cities\example_outputs\Singapore_May_G7_lamp_percentages.csv,C:\thesis\NPEC_Faketron\Cities\example_outputs\Singapore_May_G7_reconstructed_spectra.csv,C:\thesis\NPEC_Faketron\Cities\example_outputs\Singapore_May_G7_reconstructed.png
Berlin,6,June,G7,D:\Maarten\Alan_Cities\Per_City_Per_Month_Output\DE-BLN_Berlin_average_day_by_month.csv,spectral_patch_radiance,1,false,10,6,288.0,93,0.08102433966578317,C:\thesis\NPEC_Faketron\Cities\example_outputs\Berlin_June_G7_lamp_percentages.csv,C:\thesis\NPEC_Faketron\Cities\example_outputs\Berlin_June_G7_reconstructed_spectra.csv,C:\thesis\NPEC_Faketron\Cities\example_outputs\Berlin_June_G7_reconstructed.png
