location_code,location_name,month,month_name,measurement_table,measurement_setup,sun_included,patch,patch_almucantar,patch_azimuth,time_bin_minutes,time_of_day,samples_averaged,was_filled,room,fit_unit,fit_rmse,fit_mae,fit_success,fit_nfev,target_integral,reconstructed_integral,coolWhite_pct,blue_pct,cyan_pct,green_pct,amber_pct,red_pct,deepRed_pct,farRed_pct
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,405,06:45,3.0,False,G7,photon,0.04136348706417404,0.02960927874459104,True,8,29.90316451909228,21.16585681829876,2.8051814824603025,2.1526789325079108,2.814653300762723,1.795675045301659,4.335514780963267,3.270092154583975e-18,3.0782122749298653,4.73032375475793
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,415,06:55,2.0,False,G7,photon,0.04092413081023285,0.029680306072031214,True,4,30.278886452119472,21.51937880938511,2.8631896936172554,2.177607174663975,2.8508756052186364,1.8015638187712604,4.2944610007357,1.3723582888538352e-24,3.089605500983667,4.649101191809834
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,430,07:10,2.0,False,G7,photon,0.029908766821544096,0.022180426200677037,True,7,22.35429487340527,15.819473555491726,2.5936753123415537,1.9199956640059201,2.390094757674931,1.3305765236947888,3.2957573362114423,8.359762473578849e-31,2.509573591221078,3.6762196246802157
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,440,07:20,1.0,False,G7,photon,0.017922181676047165,0.01349897818714761,True,9,12.840012931673199,8.910729858794888,2.2175045620144775,1.4995056744286572,1.5268771131839773,0.7988732199828963,2.3203177808910005,5.200731701093192e-33,1.942975856083237,2.5297472802283525
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,445,07:25,1.0,False,G7,photon,0.016786597408443262,0.0126647504459851,True,5,11.9113962770569,8.237606033893172,2.1618429855954333,1.4648158961212596,1.4916661769015023,0.7798070924096369,2.2799111490729818,3.6187449508235716e-25,1.87786435460287,2.4136999591948314
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,450,07:30,1.0,False,G7,photon,0.01566858962957075,0.011905052592473262,True,7,11.1368369696077,7.654313263742261,2.092410960844116,1.4590635623775194,1.466634985420967,0.8181959921959696,2.329613585391022,5.1517716947093735e-27,1.8262568692353023,2.2896144293587826
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,455,07:35,2.0,False,G7,photon,0.01598922530252346,0.012177506448925724,True,9,11.469230816199625,7.95122723643821,2.161033265128609,1.4434603175174956,1.4333940888384802,0.721220775486946,2.2105599425118436,2.830199417289366e-33,1.8596053439810787,2.317136495632993
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,460,07:40,2.0,False,G7,photon,0.016674162669157434,0.012682544276569624,True,4,12.03340113443452,8.363643338491766,2.193557988792734,1.4635251345347455,1.4544841437620446,0.7362425808931009,2.2516550244016114,8.23874845570197e-23,1.8910806142932344,2.3821711000967234
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,475,07:55,2.0,False,G7,photon,0.01844604941513336,0.01398944944898241,True,5,13.494510194735026,9.436184880588618,2.2584956455707443,1.542378867046447,1.561887977575727,0.8414974917058521,2.3984505964246416,2.75370585044605e-23,1.9868230732332488,2.540845107929399
DE-BLN,Berlin,6,June,spectral_patch_radiance,1,False,10,6,288.0,480,08:00,2.0,False,G7,photon,0.02167792869348698,0.016434145031691525,True,7,16.220895694990965,11.419703101697582,2.388892334571566,1.6806432046466868,1.8138963242296902,0.9807554247065497,2.6134216892546953,8.75369442899191e-29,2.1458949038204893,2.82615083132719
