timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%,Lamp 4_%,Lamp 5_%,Lamp 6_%
08:00,1252.88473125326,880.4723978520365,4474.1767721250735,3584.3197834101466,332.3771093405165,11.820894728279157
08:30,1269.552218488472,839.9086672861639,4512.728952893854,3671.810341168728,326.8848511768519,11.877631278643902
09:00,1840.3099711846469,1122.5360211934747,6285.205362714947,4895.547662674737,458.9057213702401,16.973940968046687
09:30,1777.4566277659762,1054.0336254086606,6450.316739289994,5093.851383099284,460.0873300314162,16.909366594876744
10:00,2241.7221170343632,1298.711520082719,7649.731635507416,6319.76994742402,573.8718669407136,20.58793057040593
10:30,2209.5487662293517,1394.4941538516646,7585.922977239342,6175.409766802746,576.2802014378889,20.462587414819733
11:00,2526.0492332701097,1637.575585032083,8628.031956889692,6956.185866297336,632.7270767543035,22.50115736632496
11:30,2347.9194982974386,1552.714578799941,8654.80293280387,7130.164738868785,642.7193147873215,23.445766062589893
12:00,2594.044782878675,1766.0841340127365,8974.17025847802,7236.814381921151,675.9126064873277,23.76340080219616
12:30,2583.437835958211,1621.7413720968061,9005.557102536486,7179.409894034281,647.3127550046082,23.299949437911224
13:00,2452.9691431639653,1488.3300129118131,8738.55272237835,7056.144939829422,631.3909713399976,22.902807663744426
13:30,2530.7947690243486,1306.1083212516423,8810.408959499398,6948.430145118151,634.2455472003385,22.277416791641922
14:00,2208.0839343272505,1198.2180221833546,7967.788897310612,6381.573090860504,562.8726303300053,20.3293146643178
14:30,2218.6879035592224,1427.9572109939459,7765.47914567844,6376.738647911855,557.3790834201006,20.5504721243657
15:00,1849.6109676651442,1133.7629454853452,6380.833405543791,5138.179350527216,466.52426762934834,16.495091603935684
15:30,1845.471021065272,1112.8600549490234,6410.679773678163,5032.124418358275,463.64166645281824,17.013402011184212
16:00,1298.8859422805892,777.4020630955686,4501.2729889678685,3589.3756443423135,345.9599146957944,11.76601391243442
16:30,1264.3739184893088,814.406317158255,4473.623921474872,3683.278863012154,333.46162243764036,11.9217671334855
17:00,642.1119832142512,413.2168231923043,2312.278802429408,1874.0504804751242,168.3490619100854,6.3080736412252145
17:30,673.0218729071049,443.9397161270523,2301.015043021051,1886.7590841320184,176.31063173283115,6.11050877033719
