timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%
08:00,749.7201847972291,0.0,0.0
08:30,756.1370139256261,0.0,0.0
09:00,1060.572152790418,0.0,0.0
09:30,1058.559548138447,0.0,0.0
10:00,1303.7909619053078,0.0,0.0
10:30,1300.986351741932,0.0,0.0
11:00,1445.1899236853158,0.0,0.0
11:30,1451.3107786772437,0.0,0.0
12:00,1527.3669513340694,0.0,0.0
12:30,1501.5686428737188,0.0,0.0
13:00,1455.2194256971254,0.0,0.0
13:30,1449.7086667097383,0.0,0.0
14:00,1314.3949569441852,0.0,0.0
14:30,1298.597811713139,0.0,0.0
15:00,1062.6664026683513,0.0,0.0
15:30,1062.6520986344801,0.0,0.0
16:00,760.2017859431209,0.0,0.0
16:30,752.0940970398085,0.0,0.0
17:00,388.5502215770205,0.0,0.0
17:30,391.1543135245717,0.0,0.0
