timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%
08:00,491.56229849465916,0.0,0.0
08:30,495.79594519436847,0.0,0.0
09:00,695.4114880993304,0.0,0.0
09:30,694.0107595016558,0.0,0.0
10:00,854.8191445851666,0.0,0.0
10:30,852.9512279935109,0.0,0.0
11:00,947.689969090712,0.0,0.0
11:30,951.3439150851822,0.0,0.0
12:00,1001.3250540215482,0.0,0.0
12:30,984.5018397207463,0.0,0.0
13:00,953.9679439856382,0.0,0.0
13:30,950.5384983167671,0.0,0.0
14:00,861.651084478313,0.0,0.0
14:30,851.390411582662,0.0,0.0
15:00,696.8178051661622,0.0,0.0
15:30,696.7537626976707,0.0,0.0
16:00,498.3954265628995,0.0,0.0
16:30,493.069211395492,0.0,0.0
17:00,254.719940300174,0.0,0.0
17:30,256.4891794379257,0.0,0.0
