timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%
08:00,341.51729025964823,0.0,0.0
08:30,344.44188249677273,0.0,0.0
09:00,483.17125959633813,0.0,0.0
09:30,482.15810159569077,0.0,0.0
10:00,593.9001349139417,0.0,0.0
10:30,592.6292338512385,0.0,0.0
11:00,658.3603575739404,0.0,0.0
11:30,661.0819660632939,0.0,0.0
12:00,695.6994606372979,0.0,0.0
12:30,683.9432179798644,0.0,0.0
13:00,662.8831777333388,0.0,0.0
13:30,660.3677734719423,0.0,0.0
14:00,598.7340849715042,0.0,0.0
14:30,591.5125508719121,0.0,0.0
15:00,484.06185804710947,0.0,0.0
15:30,484.04210071127426,0.0,0.0
16:00,346.29248581354216,0.0,0.0
16:30,342.5895492067927,0.0,0.0
17:00,176.98247102355015,0.0,0.0
17:30,178.18341390792742,0.0,0.0
