wavelength_nm,A,b
315.7,4.969216209999998e-05,0.0002650176120000018
318.4,5.5064921499999984e-05,0.00033014170000000213
321.0,6.505562549999999e-05,0.000706067590000003
323.7,5.921033820000001e-05,0.0002489162940000017
326.4,7.718973e-05,0.0006791863200000031
329.1,7.560508949999999e-05,0.0004989777900000032
331.8,8.609629799999999e-05,0.00043695764000000175
334.4,0.00010477086749999998,0.000772923870000004
337.1,9.912058199999996e-05,0.0005243954800000033
339.8,0.00011985644499999998,0.0007262570400000061
342.4,0.00013308465549999998,0.0010853355100000034
345.1,0.00012990184150000003,0.0011251411900000037
347.8,0.00013909574899999998,0.001400692860000003
350.4,0.0001326090535,0.0009470411500000038
353.1,0.00015455886400000002,0.0011990559600000019
355.7,0.00016499370949999998,0.0011857478500000075
358.4,0.00015246739299999996,0.0012537228000000058
361.0,0.00017449891250000002,0.0016940032700000051
363.7,0.00018810898949999999,0.0017137932900000061
366.3,0.0001588797985,0.0007579624300000035
368.9,0.00021294525850000003,0.0018314622100000038
371.6,0.000160409806,0.0006982242800000026
374.2,0.000209656772,0.0010753405600000012
376.8,0.00023709801949999996,0.002119459350000013
379.4,0.0002362865285,0.0017615047300000063
382.0,0.0002769064885,0.0023530488500000074
384.7,0.0003512418799999999,0.004102535200000014
387.3,0.0003119968119999999,0.0017811778000000169
389.9,0.000367559286,0.0026777156200000134
392.5,0.000362560703,0.0028709912600000044
395.1,0.00035832276199999994,0.002362386140000015
397.7,0.0004368994819999999,0.004568834640000024
400.3,0.00041926190300000006,0.0032475641600000055
402.9,0.000418090299,0.0026780225800000167
405.4,0.0004655745950000001,0.0023886334000000112
408.0,0.0005278294179999999,0.0019122153600000216
410.6,0.000629382409,0.002144431580000011
413.2,0.000791008265,0.00011860130000001218
415.7,0.0010040721799999999,-0.0022960321999999553
418.3,0.0014216150650000002,-0.002196091299999936
420.9,0.0017398059799999992,-0.009819983599999934
423.4,0.00239299364,-0.016044329599999935
426.0,0.003329926229999999,-0.025217182999999862
428.5,0.004572295819999999,-0.03908874959999987
431.1,0.006455264479999999,-0.04849217039999969
433.6,0.008777661949999996,-0.07109031299999964
436.1,0.011948491050000001,-0.08894932699999983
438.7,0.0162135393,-0.10977929599999967
441.2,0.021655148199999995,-0.11821730199999925
443.7,0.027525103749999995,-0.09097656299999836
446.2,0.032271849499999984,-0.021847849999998427
448.8,0.033300126799999996,0.08205381600000118
451.3,0.03223020809999999,0.1668923920000009
453.8,0.028573445999999992,0.21084899000000096
456.3,0.024016501299999996,0.19698661600000097
458.8,0.02040518134999999,0.16258457900000103
461.3,0.0175845857,0.1282731440000009
463.8,0.01576790829999999,0.11400704400000068
466.2,0.0139576554,0.10840504400000041
468.7,0.012134730099999996,0.09999532200000054
471.2,0.010628584999999998,0.08827423200000048
473.7,0.009524034799999997,0.07047134000000038
476.1,0.008940644749999999,0.05367341100000047
478.6,0.00881781865,0.04798710100000029
481.0,0.008771886749999997,0.040163477000000405
483.5,0.009391242249999997,0.0391340290000004
485.9,0.009976860149999997,0.03819406100000035
488.4,0.010725091800000001,0.029490244000000332
490.8,0.011879597099999995,0.030829944000000557
493.2,0.012972697749999994,0.02855067300000059
495.7,0.0142208945,0.026851910000000378
498.1,0.015676071549999997,0.02600515500000057
500.5,0.01671312165,0.02759951900000038
502.9,0.017636558549999997,0.032331649000000684
505.3,0.0190896688,0.031550892000000955
507.7,0.020036249050000003,0.031039803000000286
510.1,0.02096711649999999,0.03691308800000123
512.5,0.0215610061,0.03158932400000022
514.9,0.02207224675,0.029740583000000695
517.3,0.02269004309999999,0.03765653000000084
519.7,0.023426470800000005,0.032314852000000525
522.0,0.0239184914,0.03244277600000073
524.4,0.024293452,0.03426040800000032
526.8,0.0243427424,0.032917256000001005
529.1,0.024655216100000002,0.0357784740000006
531.5,0.02515186599999999,0.03185043000000101
533.8,0.02565265995,0.0325815370000009
536.2,0.025838553999999996,0.03827791800000112
538.5,0.02568361075,0.03684578300000063
540.8,0.02582625334999999,0.03304547300000134
543.1,0.025842283049999987,0.03933614300000141
545.5,0.026026566299999995,0.035738148000000844
547.8,0.0266576363,0.038483546000000576
550.1,0.027026065099999993,0.038538292000001056
552.4,0.027223960499999998,0.03854239000000094
554.7,0.027350460699999996,0.043775654000001066
557.0,0.027796368099999993,0.034558092000000935
559.3,0.027821275399999987,0.038290558000001765
561.5,0.02766073139999999,0.040345428000001037
563.8,0.027442449199999996,0.040018284000000896
566.1,0.0275670702,0.042401614000001114
568.3,0.027512974699999995,0.045485684000001254
570.6,0.027630725399999993,0.03960493800000103
572.9,0.028266107700000005,0.04641771400000057
575.1,0.028411359099999995,0.04117253200000126
577.3,0.0283062366,0.04475227200000128
579.6,0.0283847271,0.046538462000001155
581.8,0.028342624899999995,0.043043418000001346
584.0,0.028614277899999995,0.05057936800000066
586.2,0.028111195999999998,0.05023796000000128
588.5,0.027863913200000003,0.04528495400000027
590.7,0.0274599923,0.05275212600000095
592.9,0.027413535300000007,0.04329680600000008
595.1,0.0272471601,0.043660552000000845
597.2,0.02730363669999999,0.04837279400000114
599.4,0.026944843199999995,0.04820006400000147
601.6,0.026722908799999986,0.04990893600000187
603.8,0.026640561399999995,0.05194691800000066
605.9,0.026451863,0.05131376000000113
608.1,0.026210388199999997,0.05368584400000051
610.2,0.0257314154,0.04525812200000083
612.4,0.025386383499999998,0.047152460000000514
614.5,0.024764451600000008,0.05169040400000017
616.7,0.024233807799999993,0.04457205800000104
618.8,0.023761152099999995,0.05288123800000072
620.9,0.022888492849999997,0.049242147000000784
623.0,0.02205130435,0.04554017700000057
625.1,0.021391447249999997,0.04832565300000033
627.2,0.02064580855,0.04074805500000079
629.3,0.020318256799999993,0.03904292600000129
631.4,0.0198866974,0.048164132000000665
633.5,0.01890536665,0.04345310900000011
635.6,0.018323290849999996,0.04548467700000052
637.7,0.017670959549999997,0.037821725000000875
639.7,0.016966244999999998,0.038783288000000166
641.8,0.016434121599999997,0.04002927200000062
643.9,0.016081439849999993,0.03410876900000026
645.9,0.015734872200000003,0.033520610000000325
647.9,0.015151494449999995,0.03481923700000099
650.0,0.01427793995,0.03381536300000063
652.0,0.013699799300000001,0.036405828000000286
654.0,0.013102821299999998,0.03173684000000047
656.0,0.012668722549999999,0.029414181000000462
658.1,0.012188939799999998,0.0322915860000005
660.1,0.011413322149999995,0.027033485000000634
662.1,0.010991477549999998,0.023416799000000453
664.1,0.010597497649999996,0.023328673000000463
666.0,0.009888074699999999,0.020974018000000472
