wavelength_nm,A,b
315.7,9.087258999999993e-06,0.00047668390000000057
318.4,1.1509872999999997e-05,0.00046695924000000026
321.0,1.5737366e-05,0.0005909013200000003
323.7,1.0761760499999996e-05,0.0005366390100000005
326.4,1.551751899999999e-05,0.0007678509800000005
329.1,1.8794596000000004e-05,0.0004965542200000003
331.8,2.075571199999999e-05,0.0005058747400000012
334.4,2.3781543999999996e-05,0.0009191656800000006
337.1,1.7397258999999995e-05,0.0009193030800000011
339.8,2.1916399999999986e-05,0.0012124974000000013
342.4,3.2398279999999996e-05,0.0010461866000000012
345.1,3.0923294999999995e-05,0.0011188445000000007
347.8,3.413562e-05,0.0012092058000000012
350.4,2.3176599999999984e-05,0.001220936400000002
353.1,3.205543000000001e-05,0.0012817243999999998
355.7,3.7517585e-05,0.001294795300000001
358.4,3.2843574999999976e-05,0.0011223083000000019
361.0,4.372355499999999e-05,0.0013347409000000023
363.7,4.0443959999999985e-05,0.0016284814000000025
366.3,2.6467354999999997e-05,0.0012741820999999998
368.9,4.789267000000001e-05,0.0017793886000000007
371.6,2.5703450000000002e-05,0.0012564936000000007
374.2,3.345039e-05,0.0015768768000000005
376.8,5.279661499999999e-05,0.0018399677000000014
379.4,4.7221550000000005e-05,0.0020875078000000013
382.0,5.9570399999999995e-05,0.0020029056000000003
384.7,8.42961e-05,0.0033045500000000016
387.3,6.410047499999999e-05,0.0022359841000000034
389.9,8.886017499999999e-05,0.002811568300000003
392.5,7.417929999999999e-05,0.003039709600000001
395.1,6.643097000000001e-05,0.0033647195999999993
397.7,9.169705999999995e-05,0.004191104000000006
400.3,9.457525999999997e-05,0.0029232130000000035
402.9,8.935036499999998e-05,0.002818109900000003
405.4,7.825388999999998e-05,0.003302175800000006
408.0,8.3200755e-05,0.004079174300000001
410.6,8.112579499999999e-05,0.004227118100000002
413.2,0.00010806674500000002,0.003971251500000001
415.7,0.00011635051999999998,0.0034599536000000032
418.3,0.00015592345,0.005868673000000004
420.9,9.462238999999996e-05,0.004765933600000001
423.4,0.00013152060999999996,0.004662683600000006
426.0,0.00013974401999999992,0.005366445000000008
428.5,0.00010057488,0.0055627402000000045
431.1,0.00014520901999999999,0.008023047400000009
433.6,0.00013500020999999995,0.006805912200000009
436.1,0.00012920903999999995,0.008366067800000009
438.7,0.0001565231499999999,0.009886407000000007
441.2,0.00012333789999999993,0.009654256000000009
443.7,8.713619999999997e-05,0.013077492000000003
446.2,0.00015895514999999993,0.013516441000000002
448.8,8.982729999999996e-05,0.014410136000000007
451.3,0.00013030979999999995,0.014361280000000004
453.8,0.00016840879999999997,0.012733214000000003
456.3,0.00013075719999999994,0.012577818000000008
458.8,0.0001320498999999999,0.01242143400000001
461.3,0.00010535585999999993,0.008654407200000004
463.8,0.00012466989999999992,0.010907680000000008
466.2,0.00011859240000000002,0.01034598
468.7,0.00010828213999999996,0.008164783800000006
471.2,0.00010465817999999999,0.009738224600000003
473.7,0.00010483602999999993,0.007931425600000003
476.1,9.605887999999989e-05,0.008515519600000012
478.6,0.00015090463999999995,0.008873620800000008
481.0,9.517691999999998e-05,0.008083271400000005
483.5,0.0001534326,0.008882687000000007
485.9,0.00015583419999999995,0.009684768000000005
488.4,9.002616999999993e-05,0.009337225400000006
490.8,0.00016599009999999993,0.010935662000000006
493.2,0.00012650175000000004,0.010309402999999998
495.7,9.025075999999997e-05,0.009241011200000003
498.1,0.00013841719999999993,0.011519476000000002
500.5,0.00011495874999999994,0.013290179000000004
502.9,0.000150795,0.012528088
505.3,0.0001848197499999999,0.013788821000000007
507.7,9.452639999999996e-05,0.013195896000000002
510.1,0.00017497759999999992,0.017357930000000008
512.5,0.00017399934999999986,0.014519021000000016
514.9,0.00014162674999999985,0.01412093900000002
517.3,0.00018022734999999988,0.015511791000000013
519.7,0.0001480333999999999,0.01484463400000001
522.0,0.00013249874999999987,0.01583234100000001
524.4,0.00016408119999999994,0.014837342000000012
526.8,0.00011719809999999984,0.015709558000000012
529.1,0.00014549979999999992,0.017372046000000016
531.5,0.00015468744999999991,0.015158699000000005
533.8,9.79445999999999e-05,0.01755193800000001
536.2,0.00018802739999999998,0.01813955
538.5,0.00012350724999999978,0.017295925000000018
540.8,0.00014144229999999997,0.01711805200000001
543.1,0.0001523487,0.018218464000000007
545.5,0.00010778689999999993,0.017397714000000005
547.8,0.00020170029999999988,0.01794199600000001
550.1,0.00015997315000000005,0.018263143000000006
552.4,0.00013797100000000002,0.018084642000000005
554.7,0.0001661803999999999,0.016836012000000015
557.0,9.11949999999999e-05,0.02030107400000001
559.3,0.00014083325000000002,0.018764417
561.5,0.00015961339999999986,0.019215650000000015
563.8,0.00011181134999999997,0.016540677000000007
566.1,0.0001293703499999999,0.019751061000000004
568.3,0.00016228884999999987,0.017353323000000007
570.6,0.00010708214999999995,0.019723873000000003
572.9,0.00018217879999999983,0.021857446000000013
575.1,0.00013310714999999995,0.01873165100000001
577.3,0.00011350189999999996,0.020815703999999997
579.6,0.00019086404999999992,0.020464277000000017
581.8,0.00010693409999999986,0.02114952200000001
584.0,0.0001532640499999999,0.02322500900000001
586.2,0.00010662289999999998,0.021744030000000004
588.5,0.00010592454999999989,0.022427561000000006
590.7,0.00018178079999999993,0.020579748
592.9,0.00012716989999999998,0.021356984
595.1,0.00014877449999999985,0.021080524000000014
597.2,0.00017241374999999985,0.02225766300000001
599.4,0.00014607529999999993,0.02098938000000001
601.6,0.00014834509999999988,0.023163990000000016
603.8,0.00015734474999999997,0.020314927000000014
605.9,0.00014853329999999995,0.022103486000000012
608.1,0.00016042484999999996,0.022017901000000006
610.2,5.757389999999983e-05,0.020539580000000012
612.4,0.00014719774999999988,0.02088225900000001
614.5,0.00017164134999999995,0.022006313000000017
616.7,0.00010226279999999986,0.01836360400000001
618.8,0.00017061380000000002,0.02074357600000001
620.9,0.00014005584999999987,0.019792449000000014
623.0,0.00014121004999999978,0.018698463000000012
625.1,0.0002053478,0.019082034
627.2,0.00018691334999999993,0.017033127000000006
629.3,0.0001800851499999998,0.017475877000000015
631.4,0.00019359569999999996,0.02010710800000001
633.5,0.00014562039999999995,0.016360944000000002
635.6,0.0002306907999999999,0.018752302000000016
637.7,0.00021550929999999987,0.015456990000000004
639.7,0.00016507844999999997,0.015480387000000012
641.8,0.00024048179999999996,0.01540300800000001
643.9,0.00020903939999999992,0.01653587800000001
645.9,0.0002539644999999999,0.015853096000000007
647.9,0.0002652815999999999,0.015166192000000009
650.0,0.0002718825499999999,0.013388141000000015
652.0,0.00032554299999999986,0.014955834000000005
654.0,0.0002691531,0.013687290000000008
656.0,0.00032666319999999984,0.013194404000000017
658.1,0.00043346474999999987,0.012894115000000024
660.1,0.00039813679999999995,0.010606466000000012
662.1,0.0004548666999999999,0.011575296000000023
664.1,0.0005811226000000001,0.011770434000000015
666.0,0.0006255183499999998,0.007380183000000034
668.0,0.0007190604499999999,0.009515761000000015
670.0,0.0007695043999999998,0.008013314000000034
672.0,0.0008229789499999998,0.007705929000000027
673.9,0.0010386503499999998,0.005237609000000034
675.9,0.0011664366999999999,0.005128912000000041
677.8,0.0013454124999999998,0.00349358600000007
679.8,0.0015769138,0.0037125400000000324
681.7,0.0017169931499999996,-0.000922488999999921
683.6,0.0020195163499999993,0.00026860900000008663
685.5,0.0022504607499999993,-0.0010631729999999188
687.5,0.002526231849999999,-0.0012564189999998718
689.4,0.0029211986999999997,-0.00303811599999991
691.3,0.003261427499999999,-0.00764388999999991
693.2,0.0036485148999999997,-0.004994091999999921
695.1,0.0042242962,-0.0015216159999998466
696.9,0.0047047897,-0.006237335999999838
698.8,0.005265235299999998,-0.0031067039999998223
700.7,0.005813714499999999,-0.004962729999999802
702.6,0.0064529724999999975,-0.006358009999999721
704.4,0.007273786499999997,0.005604890000000373
706.3,0.007971854999999998,0.0016464000000002655
708.1,0.008783470499999998,0.0030803300000002694
710.0,0.009550512999999995,0.008931460000000467
711.8,0.009840086499999998,0.018649310000000426
713.6,0.010686665999999996,0.020910440000000613
715.4,0.0111804625,0.031919530000000286
717.2,0.011960372999999996,0.03396164000000047
719.1,0.012450518499999999,0.050621470000000154
720.9,0.012914311,0.06483498000000029
722.6,0.013416173999999998,0.08528958000000043
724.4,0.014263468,0.0973272200000004
726.2,0.014401848999999998,0.12131324000000035
728.0,0.014840967999999996,0.13293372000000056
729.8,0.015098388499999997,0.1389462900000007
731.5,0.015108463499999999,0.1489367700000002
733.3,0.015166790499999994,0.14785049000000075
735.0,0.014693158499999998,0.14127937000000015
736.8,0.014568847499999997,0.11813559000000061
738.5,0.014052703499999998,0.09553393000000059
740.2,0.013250585999999996,0.06514104000000054
742.0,0.012270351,0.04372434000000029
743.7,0.011268153999999996,0.013665480000000438
745.4,0.010052011000000001,-0.0018130399999998269
747.1,0.009063036999999998,-0.016125239999999725
748.8,0.007806978500000001,-0.024764589999999906
750.5,0.006838130999999998,-0.0325894599999998
752.2,0.005750976699999998,-0.0278748759999997
753.9,0.004884984699999999,-0.03579516599999978
755.5,0.004168544799999998,-0.026865873999999818
757.2,0.0033928231999999993,-0.020858335999999887
758.9,0.00285945465,-0.02158796099999991
760.5,0.0024363092999999995,-0.01493445999999993
762.2,0.0018987649999999995,-0.010089577999999898
763.8,0.00162588235,-0.007774364999999987
