wavelength_nm,A,b
315.7,1.9794469499999998e-05,-9.175042999999925e-05
318.4,2.3684270499999995e-05,-9.458140999999912e-05
321.0,3.2268120499999996e-05,-0.00015742490999999919
323.7,1.9073062499999996e-05,9.36599700000006e-05
326.4,4.0294336999999986e-05,-0.00032902055999999843
329.1,3.604050799999999e-05,-0.00024436603999999836
331.8,3.780244799999999e-05,-0.00023920673999999853
334.4,5.469090999999998e-05,-0.0005225525999999965
337.1,3.424106699999999e-05,9.472384000000108e-05
339.8,5.442230799999999e-05,-0.000217392539999998
342.4,6.6181502e-05,-0.0004963849599999978
345.1,7.072064200000001e-05,-0.0007419421599999988
347.8,6.915704999999998e-05,-0.00038123799999999794
350.4,5.8741089999999985e-05,-0.00027273659999999775
353.1,7.605763e-05,-0.0005850471999999981
355.7,8.375809999999999e-05,-0.0006336967999999986
358.4,7.924362999999999e-05,-0.0006844813999999967
361.0,9.192754999999996e-05,-0.0007071281999999962
363.7,9.995502999999998e-05,-0.0009092483999999958
366.3,6.627898699999998e-05,-0.000543392859999997
368.9,0.00010626226,-0.0007365215999999959
371.6,5.548967999999999e-05,-9.063659999999744e-05
374.2,9.518586e-05,-0.0007577615999999984
376.8,0.00011591679999999998,-0.0007410889999999946
379.4,0.00011548347499999995,-0.0009877802999999953
382.0,0.00013330147499999998,-0.0006398194999999963
384.7,0.00020079959499999994,-0.0016198426999999914
387.3,0.00014146910999999996,-0.0010279785999999962
389.9,0.000182845395,-0.001492713099999992
392.5,0.00018362725499999994,-0.0015383030999999918
395.1,0.00017118432499999993,-0.001387343499999991
397.7,0.00025140266499999996,-0.0022864252999999874
400.3,0.00020396762499999996,-0.0019276872999999925
402.9,0.00017899700499999995,-0.0008895680999999938
405.4,0.00022661681499999993,-0.0021870570999999906
408.0,0.00020093170499999993,-0.0007188698999999911
410.6,0.0002496014,-0.002269517799999992
413.2,0.00022830052499999993,-0.0011159160999999879
415.7,0.000262580205,-0.0020265018999999908
418.3,0.00034982022999999993,-0.0022241523999999863
420.9,0.00024811521499999993,-0.0012902494999999855
423.4,0.00027777649999999993,-0.0011584003999999854
426.0,0.00029819393999999986,-0.0015593691999999878
428.5,0.00022031828999999987,0.0010247796000000134
431.1,0.00037148537,-0.0013432335999999869
433.6,0.00027098305999999995,0.0021651732000000042
436.1,0.00029589975999999986,0.0021131202000000166
438.7,0.00032478589999999994,0.002818188000000011
441.2,0.00031242885,0.00304496500000001
443.7,0.0002795263999999999,0.006142602000000013
446.2,0.00037189654999999995,0.006893847000000016
448.8,0.00027458434999999993,0.008376439000000018
451.3,0.00046821024999999986,0.004098741000000011
