Time;10:50:38;10:50:48;10:50:55;10:51:02;10:51:08;10:51:15;10:51:23;10:51:32;10:52:59;10:53:08;10:53:17;10:53:29;10:53:43;10:54:07;10:54:15;10:54:24;10:54:32;10:54:39;10:54:45;10:54:55;10:55:41;10:56:09;10:56:57;10:57:08;10:57:15;10:57:30;10:57:36;10:57:43;10:57:50;10:57:58;10:58:05;10:58:13;10:58:20;10:58:29;10:58:37;10:58:45;10:58:53;10:59:00;10:59:08;10:59:15;10:59:31;10:59:39;10:59:58;11:00:07;11:00:14;11:00:22;11:00:30;11:00:37;11:00:44;11:00:51;11:01:00;11:01:37;11:01:57;11:02:04;11:02:12;11:02:19;11:02:27;11:02:34;11:02:42;11:02:50;11:03:12;11:03:40;11:03:48;11:03:57;11:04:04;11:04:10;11:04:18;11:04:26;11:04:33;11:04:40;11:04:48;11:04:56;11:05:03;11:05:11;11:05:18;11:05:25;11:05:37;11:05:44;11:05:51;11:05:59;11:06:23;11:06:32;11:06:39;11:06:46;11:06:53;11:07:00;11:07:08;11:07:16;11:07:23;11:07:32;11:07:39;11:07:46;11:07:53;11:08:01;11:08:08;11:08:15;11:08:22;11:08:31;11:08:38;11:08:45;11:09:40;11:10:40;11:10:52;11:11:03;11:11:10;11:11:17;11:11:26;11:11:33;11:11:41;11:11:48;11:11:55;11:12:03;11:12:11;11:12:27;11:12:37;11:14:12;11:14:20;11:14:28;11:14:35;11:14:43;11:15:05;11:15:16;11:15:41;11:15:51;11:16:07;11:16:17;11:16:23;11:16:35;11:16:41;11:16:48;11:17:05;11:17:14;11:18:12;11:18:20;11:18:31;11:18:42;11:21:29;11:21:47;11:21:57;11:22:05;11:23:48;11:23:59;11:24:16;11:24:28;11:24:46;11:25:00;11:25:11;11:25:18;11:25:25;11:25:33;11:25:49;11:26:01;11:26:10;11:29:22;11:29:33;11:29:39;11:29:50;11:29:58;11:30:06;11:30:17
470;2,27406E-02;5,29186E-02;8,07251E-02;1,06913E-01;1,31590E-01;1,55041E-01;1,74873E-01;1,97058E-01;2,19641E-01;2,39000E-01;2,59041E-01;2,77204E-01;2,95233E-01;3,16063E-01;3,30209E-01;3,48224E-01;3,63556E-01;3,82046E-01;4,00272E-01;4,14931E-01;3,91641E-02;8,76815E-02;1,27021E-01;1,61813E-01;1,92791E-01;2,18794E-01;2,47497E-01;2,71176E-01;2,93659E-01;3,14510E-01;3,35597E-01;3,51454E-01;3,73715E-01;3,87690E-01;4,08582E-01;4,20918E-01;4,40667E-01;4,55563E-01;4,71468E-01;4,83169E-01;7,13709E-04;2,08615E-03;3,44502E-03;5,23524E-03;6,96139E-03;9,10686E-03;1,15596E-02;1,37862E-02;1,59896E-02;1,90018E-02;2,09819E-02;2,39344E-02;2,74193E-02;3,01311E-02;3,44732E-02;3,69839E-02;4,01677E-02;4,29606E-02;4,66179E-02;5,04270E-02;3,67002E-05;1,12818E-04;2,24568E-04;3,26125E-04;4,28102E-04;6,92143E-04;7,54438E-04;8,35881E-04;8,37915E-04;1,37822E-03;1,67730E-03;1,55580E-03;2,21997E-03;2,30854E-03;2,64932E-03;2,84885E-03;3,23003E-03;3,73821E-03;4,19089E-03;4,25980E-03;7,26559E-05;1,88076E-04;3,06943E-04;3,91661E-04;5,55147E-04;6,11880E-04;6,47675E-04;8,75121E-04;7,81648E-04;8,62336E-04;1,01728E-03;1,14403E-03;1,15242E-03;1,15488E-03;1,41640E-03;1,25038E-03;1,36822E-03;1,59105E-03;1,55040E-03;1,91657E-03;1,53641E-05;7,99185E-06;0,00000E+00;0,00000E+00;6,92101E-05;7,58506E-06;0,00000E+00;0,00000E+00;1,40200E-05;7,04277E-05;2,27483E-04;0,00000E+00;3,18573E-04;1,41255E-04;6,84264E-05;0,00000E+00;2,83731E-04;0,00000E+00;1,39578E-04;8,82497E-05;6,66963E-06;0,00000E+00;3,46710E-05;0,00000E+00;0,00000E+00;6,06805E-05;5,04157E-06;0,00000E+00;1,15414E-04;4,50543E-05;0,00000E+00;1,76864E-04;0,00000E+00;1,82042E-04;2,17196E-04;1,04356E-04;1,82246E-04;1,34623E-04;1,89127E-04;2,81652E-05;7,20122E-06;0,00000E+00;1,03872E-05;0,00000E+00;8,56632E-05;0,00000E+00;0,00000E+00;3,78118E-05;8,97534E-06;6,93234E-05;0,00000E+00;7,97717E-05;1,09769E-04;1,27570E-05;8,34357E-05;7,58506E-05;0,00000E+00;5,04157E-06;0,00000E+00;3,03403E-05
471;2,14721E-02;5,01278E-02;7,55532E-02;1,00823E-01;1,22075E-01;1,44550E-01;1,63747E-01;1,85542E-01;2,06112E-01;2,25133E-01;2,43316E-01;2,58084E-01;2,78751E-01;2,95667E-01;3,09886E-01;3,25687E-01;3,47546E-01;3,60140E-01;3,76295E-01;3,94020E-01;3,58607E-02;8,02052E-02;1,15821E-01;1,47697E-01;1,75367E-01;2,00953E-01;2,25871E-01;2,49067E-01;2,68823E-01;2,87774E-01;3,09289E-01;3,24566E-01;3,41255E-01;3,55840E-01;3,77110E-01;3,90022E-01;4,06807E-01;4,19852E-01;4,35346E-01;4,50443E-01;8,62100E-04;2,35791E-03;3,97551E-03;5,91531E-03;8,00602E-03;1,02814E-02;1,27353E-02;1,57194E-02;1,79710E-02;2,12862E-02;2,42535E-02;2,71712E-02;3,12275E-02;3,46337E-02;3,77053E-02;4,20117E-02;4,52644E-02;4,81889E-02;5,28917E-02;5,57786E-02;7,05535E-05;4,97092E-05;2,15478E-04;3,42891E-04;4,83592E-04;6,46049E-04;9,00735E-04;8,42424E-04;1,29693E-03;1,59987E-03;1,82446E-03;1,79856E-03;2,49445E-03;2,64282E-03;2,90664E-03;3,43080E-03;3,86019E-03;3,86194E-03;4,55514E-03;4,78427E-03;1,14335E-04;2,19060E-04;2,86023E-04;3,89652E-04;4,16457E-04;5,26968E-04;6,32582E-04;7,38012E-04;7,50187E-04;7,82789E-04;1,13982E-03;1,04183E-03;1,13580E-03;1,30153E-03;1,21506E-03;1,23122E-03;1,33089E-03;1,58307E-03;1,51740E-03;1,56111E-03;7,40521E-06;2,67997E-06;2,16250E-05;0,00000E+00;2,29239E-05;1,25628E-05;0,00000E+00;4,95268E-05;3,48279E-04;2,71696E-04;1,24445E-04;0,00000E+00;1,06829E-04;2,90714E-04;2,29459E-05;0,00000E+00;9,51455E-05;3,74853E-04;0,00000E+00;2,95934E-05;8,83651E-06;0,00000E+00;9,14675E-05;0,00000E+00;0,00000E+00;5,04063E-05;1,10212E-04;0,00000E+00;5,39687E-05;0,00000E+00;0,00000E+00;4,57840E-05;0,00000E+00;8,10839E-05;1,45977E-04;0,00000E+00;1,09260E-04;4,51443E-05;0,00000E+00;8,39605E-05;0,00000E+00;0,00000E+00;5,83658E-05;0,00000E+00;1,02129E-05;1,19318E-04;0,00000E+00;1,00193E-05;3,00977E-06;9,97995E-06;0,00000E+00;0,00000E+00;3,68098E-05;0,00000E+00;2,79791E-05;7,55320E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,01742E-05
472;2,02200E-02;4,70443E-02;7,14583E-02;9,45192E-02;1,16354E-01;1,35733E-01;1,54011E-01;1,73381E-01;1,95448E-01;2,11365E-01;2,29270E-01;2,43507E-01;2,61298E-01;2,77809E-01;2,92737E-01;3,11150E-01;3,26257E-01;3,42853E-01;3,51196E-01;3,73393E-01;3,26236E-02;7,25497E-02;1,05803E-01;1,36724E-01;1,60782E-01;1,84998E-01;2,05969E-01;2,28804E-01;2,45014E-01;2,67606E-01;2,84408E-01;3,00160E-01;3,17219E-01;3,29743E-01;3,46791E-01;3,60107E-01;3,76876E-01;3,91112E-01;4,02293E-01;4,15125E-01;9,38532E-04;2,60724E-03;4,55996E-03;6,93431E-03;9,08455E-03;1,20228E-02;1,44545E-02;1,81068E-02;2,04457E-02;2,45566E-02;2,72547E-02;3,14471E-02;3,49007E-02;3,86276E-02;4,14164E-02;4,74485E-02;5,02172E-02;5,60891E-02;6,01611E-02;6,41872E-02;3,10363E-05;1,69044E-04;2,41927E-04;3,87797E-04;4,14152E-04;6,61374E-04;8,46560E-04;1,10492E-03;1,40276E-03;1,52900E-03;2,05461E-03;1,89276E-03;2,59484E-03;2,50836E-03;3,03343E-03;3,64769E-03;4,61973E-03;4,57224E-03;4,90835E-03;5,39743E-03;1,10607E-04;1,72461E-04;2,32116E-04;4,08865E-04;5,71633E-04;4,77979E-04;7,61618E-04;6,08513E-04;6,89793E-04;9,51801E-04;9,82161E-04;1,07377E-03;1,17460E-03;1,17431E-03;1,10341E-03;1,20088E-03;1,31683E-03;1,56715E-03;1,47967E-03;1,65399E-03;2,96717E-08;0,00000E+00;1,52640E-07;1,47689E-05;1,61808E-07;7,07210E-08;0,00000E+00;3,49585E-07;1,97921E-05;1,75106E-06;3,60209E-07;1,49598E-04;3,24128E-04;1,98019E-06;1,96809E-04;0,00000E+00;0,00000E+00;2,64589E-06;6,90281E-04;0,00000E+00;6,23724E-08;1,23700E-05;5,82271E-07;0,00000E+00;0,00000E+00;2,12163E-07;7,77931E-07;0,00000E+00;3,80937E-07;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;4,98800E-04;7,07210E-07;4,58748E-04;3,39841E-07;5,05739E-04;0,00000E+00;5,92634E-07;0,00000E+00;2,67504E-05;3,87388E-07;4,82765E-05;0,00000E+00;5,38639E-05;1,86997E-05;6,24031E-05;0,00000E+00;4,07614E-05;0,00000E+00;9,39306E-05;0,00000E+00;1,05149E-04;0,00000E+00;3,53605E-07;0,00000E+00;1,62064E-04;0,00000E+00;0,00000E+00
473;1,86669E-02;4,40869E-02;6,67992E-02;8,82919E-02;1,08936E-01;1,28799E-01;1,46132E-01;1,63598E-01;1,82900E-01;2,00400E-01;2,16243E-01;2,32320E-01;2,48360E-01;2,65669E-01;2,78565E-01;2,94681E-01;3,13186E-01;3,24627E-01;3,39894E-01;3,50384E-01;2,94321E-02;6,52081E-02;9,49337E-02;1,23458E-01;1,47589E-01;1,68295E-01;1,88752E-01;2,09784E-01;2,26373E-01;2,43409E-01;2,60324E-01;2,76283E-01;2,92539E-01;3,05097E-01;3,18725E-01;3,35186E-01;3,44072E-01;3,58579E-01;3,71725E-01;3,83466E-01;1,00356E-03;2,94085E-03;5,30438E-03;7,72477E-03;1,05396E-02;1,33899E-02;1,71836E-02;2,02570E-02;2,41263E-02;2,73700E-02;3,20753E-02;3,55541E-02;3,93659E-02;4,34264E-02;4,82586E-02;5,31812E-02;5,74914E-02;6,22702E-02;6,76789E-02;7,12319E-02;4,88279E-05;2,61939E-04;3,78686E-04;4,58007E-04;5,91793E-04;6,72618E-04;1,08058E-03;1,38943E-03;1,50685E-03;1,68425E-03;2,24351E-03;2,17123E-03;2,78420E-03;3,21426E-03;3,70212E-03;3,89074E-03;4,58387E-03;4,70099E-03;5,58635E-03;5,83206E-03;9,05776E-05;1,83314E-04;3,72410E-04;4,27670E-04;4,77093E-04;4,66579E-04;6,07829E-04;6,97102E-04;7,57012E-04;8,94335E-04;8,62825E-04;9,05541E-04;1,08404E-03;9,40258E-04;1,08425E-03;1,17231E-03;1,27569E-03;1,30706E-03;1,09093E-03;1,73435E-03;2,70382E-05;0,00000E+00;0,00000E+00;0,00000E+00;6,92621E-05;2,01814E-05;2,16127E-04;1,62578E-04;0,00000E+00;8,12123E-05;2,89379E-04;5,72503E-05;2,62358E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,32424E-04;4,33431E-04;6,60418E-05;1,57436E-04;0,00000E+00;0,00000E+00;2,80573E-06;0,00000E+00;3,50592E-06;2,38543E-06;0,00000E+00;2,84522E-06;6,42453E-06;2,40470E-04;0,00000E+00;0,00000E+00;2,97231E-05;6,05443E-05;1,81633E-04;3,24908E-04;5,33387E-04;0,00000E+00;3,12184E-04;2,53677E-04;0,00000E+00;0,00000E+00;1,38185E-05;0,00000E+00;2,87338E-05;4,29173E-06;0,00000E+00;2,02761E-05;0,00000E+00;2,02789E-05;6,43631E-05;0,00000E+00;1,13579E-04;2,01200E-05;2,38543E-06;0,00000E+00;1,61451E-04;0,00000E+00;5,76098E-05;8,07257E-05
474;1,76391E-02;4,14604E-02;6,33734E-02;8,26481E-02;1,03397E-01;1,21127E-01;1,39810E-01;1,55838E-01;1,74591E-01;1,89625E-01;2,06655E-01;2,23694E-01;2,37044E-01;2,53023E-01;2,66078E-01;2,83028E-01;2,95861E-01;3,11250E-01;3,22614E-01;3,39129E-01;2,66713E-02;6,01951E-02;8,77405E-02;1,13498E-01;1,34933E-01;1,56275E-01;1,74819E-01;1,94048E-01;2,11665E-01;2,26698E-01;2,41063E-01;2,55434E-01;2,70072E-01;2,84133E-01;2,95610E-01;3,10621E-01;3,23415E-01;3,34249E-01;3,44191E-01;3,56238E-01;1,22162E-03;3,31434E-03;5,92882E-03;8,79227E-03;1,20262E-02;1,56894E-02;1,90939E-02;2,28458E-02;2,70333E-02;3,10980E-02;3,58211E-02;4,00456E-02;4,47906E-02;4,94835E-02;5,47140E-02;6,03009E-02;6,45960E-02;6,95671E-02;7,53033E-02;7,90321E-02;3,46766E-05;1,65324E-04;3,65103E-04;4,39981E-04;7,29961E-04;9,04672E-04;1,30595E-03;1,39883E-03;1,73145E-03;2,05401E-03;2,46950E-03;2,66685E-03;3,12666E-03;3,50838E-03;4,27849E-03;4,76390E-03;5,21305E-03;5,53059E-03;6,35267E-03;7,08039E-03;6,71483E-05;2,00240E-04;3,11350E-04;3,78960E-04;4,40324E-04;5,07538E-04;5,69951E-04;6,59571E-04;8,24837E-04;8,07400E-04;9,12103E-04;8,35504E-04;1,07056E-03;9,27689E-04;1,12741E-03;1,07000E-03;1,50908E-03;1,26498E-03;1,31098E-03;1,22622E-03;1,19650E-05;2,54053E-05;0,00000E+00;3,42786E-05;5,14903E-05;0,00000E+00;4,56289E-05;3,19530E-04;1,40811E-04;2,58908E-04;1,11479E-04;2,78964E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,89647E-05;3,93071E-04;2,90650E-04;2,21199E-04;0,00000E+00;0,00000E+00;1,27262E-05;0,00000E+00;1,11770E-05;7,60482E-06;0,00000E+00;8,38459E-05;2,04816E-05;0,00000E+00;0,00000E+00;0,00000E+00;3,04193E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,20091E-04;3,05660E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,47933E-04;6,15315E-06;0,00000E+00;6,46410E-05;0,00000E+00;1,40335E-04;5,12661E-05;0,00000E+00;3,48946E-05;6,41433E-05;7,60482E-06;0,00000E+00;0,00000E+00;0,00000E+00;2,28145E-05;0,00000E+00
475;1,66436E-02;3,92031E-02;5,98544E-02;7,93177E-02;9,80671E-02;1,15424E-01;1,32561E-01;1,49245E-01;1,66775E-01;1,82379E-01;1,97846E-01;2,12904E-01;2,28639E-01;2,43976E-01;2,59725E-01;2,73364E-01;2,86583E-01;3,00482E-01;3,14313E-01;3,25497E-01;2,42175E-02;5,54421E-02;8,07541E-02;1,04400E-01;1,24950E-01;1,45461E-01;1,61595E-01;1,78885E-01;1,94413E-01;2,09224E-01;2,23711E-01;2,37282E-01;2,51035E-01;2,63085E-01;2,74590E-01;2,89777E-01;2,95508E-01;3,11026E-01;3,17644E-01;3,29441E-01;1,41409E-03;3,78524E-03;6,67599E-03;1,00205E-02;1,37314E-02;1,74196E-02;2,17672E-02;2,60671E-02;3,04460E-02;3,54692E-02;4,07306E-02;4,56514E-02;5,01341E-02;5,61361E-02;6,11122E-02;6,74091E-02;7,30187E-02;7,80738E-02;8,45326E-02;8,87219E-02;7,30601E-05;2,49204E-04;3,74494E-04;5,44703E-04;8,47614E-04;1,09417E-03;1,42295E-03;1,66662E-03;2,12509E-03;2,50241E-03;2,57847E-03;3,28535E-03;3,59860E-03;4,10434E-03;4,82569E-03;5,26415E-03;5,58102E-03;6,71869E-03;7,29784E-03;7,41661E-03;7,73451E-05;1,74908E-04;2,08331E-04;3,65798E-04;4,16697E-04;6,09792E-04;6,59586E-04;7,43896E-04;6,43096E-04;7,94352E-04;9,29916E-04;8,75221E-04;1,05437E-03;1,06952E-03;1,14198E-03;1,36935E-03;1,31258E-03;1,40697E-03;1,35254E-03;1,08927E-03;0,00000E+00;2,70730E-05;0,00000E+00;7,08458E-05;5,48703E-05;0,00000E+00;7,96592E-05;0,00000E+00;1,50054E-04;1,34480E-04;8,72495E-06;1,02780E-04;1,15868E-04;4,34505E-05;0,00000E+00;1,37025E-04;0,00000E+00;1,37333E-04;8,53654E-05;0,00000E+00;0,00000E+00;0,00000E+00;6,86887E-06;7,24175E-06;0,00000E+00;0,00000E+00;0,00000E+00;1,05597E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,30351E-04;2,89670E-05;1,01384E-04;0,00000E+00;0,00000E+00;0,00000E+00;2,52900E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;3,30568E-06;0,00000E+00;7,32430E-05;6,55707E-06;0,00000E+00;4,70714E-05;4,28455E-06;8,06539E-05;8,02932E-05;0,00000E+00;3,71852E-05;1,46594E-04;0,00000E+00;8,69010E-05;0,00000E+00;1,73802E-04;0,00000E+00;0,00000E+00
476;1,57480E-02;3,71369E-02;5,69564E-02;7,55824E-02;9,43189E-02;1,12065E-01;1,28220E-01;1,42857E-01;1,60447E-01;1,75177E-01;1,91435E-01;2,05187E-01;2,22117E-01;2,37980E-01;2,51007E-01;2,64613E-01;2,78440E-01;2,93990E-01;3,05368E-01;3,16911E-01;2,21622E-02;5,05776E-02;7,50525E-02;9,70585E-02;1,15603E-01;1,34331E-01;1,49886E-01;1,65137E-01;1,79811E-01;1,93795E-01;2,04956E-01;2,18647E-01;2,31652E-01;2,41328E-01;2,53483E-01;2,65349E-01;2,73213E-01;2,86314E-01;2,94798E-01;3,03564E-01;1,58389E-03;4,39909E-03;7,67729E-03;1,15761E-02;1,56799E-02;1,95264E-02;2,47857E-02;2,99481E-02;3,46844E-02;4,15030E-02;4,61157E-02;5,08967E-02;5,67901E-02;6,34690E-02;6,83361E-02;7,58727E-02;8,21681E-02;8,70296E-02;9,36830E-02;9,83670E-02;8,96571E-05;2,79902E-04;4,46117E-04;6,25599E-04;1,03398E-03;1,10249E-03;1,67784E-03;2,03090E-03;2,38621E-03;2,68858E-03;2,81289E-03;3,73604E-03;4,04167E-03;4,76913E-03;5,25208E-03;5,76012E-03;6,63218E-03;7,57921E-03;8,06034E-03;8,41667E-03;9,54792E-05;1,52230E-04;1,82257E-04;3,47500E-04;4,22478E-04;5,90883E-04;5,65634E-04;6,39133E-04;7,98098E-04;7,45597E-04;8,93221E-04;9,71841E-04;9,59036E-04;1,03126E-03;7,95144E-04;1,29720E-03;1,17303E-03;1,39604E-03;1,47440E-03;1,39759E-03;0,00000E+00;1,52159E-05;0,00000E+00;1,27332E-05;7,34261E-06;0,00000E+00;9,69508E-05;9,51818E-05;0,00000E+00;4,98984E-05;2,45186E-04;0,00000E+00;4,29925E-05;1,50909E-04;0,00000E+00;5,08426E-05;0,00000E+00;1,02914E-04;2,66546E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,05349E-06;2,67561E-05;0,00000E+00;0,00000E+00;0,00000E+00;7,85149E-05;0,00000E+00;0,00000E+00;0,00000E+00;6,76218E-05;3,00034E-05;2,87937E-04;0,00000E+00;1,99284E-04;2,31322E-05;6,81296E-06;0,00000E+00;1,61357E-04;1,10014E-05;0,00000E+00;2,10030E-05;0,00000E+00;1,89610E-05;0,00000E+00;0,00000E+00;1,74657E-05;1,58977E-06;0,00000E+00;9,52172E-06;0,00000E+00;0,00000E+00;9,49957E-05;0,00000E+00;3,22444E-05;3,85105E-05;6,44887E-05;0,00000E+00;0,00000E+00
477;1,53260E-02;3,57770E-02;5,50595E-02;7,31238E-02;9,14966E-02;1,07593E-01;1,26187E-01;1,42543E-01;1,57808E-01;1,73160E-01;1,88680E-01;2,03835E-01;2,18480E-01;2,32528E-01;2,43516E-01;2,58561E-01;2,73011E-01;2,86619E-01;3,00434E-01;3,13767E-01;2,07252E-02;4,71364E-02;6,99520E-02;9,01739E-02;1,07587E-01;1,24772E-01;1,40667E-01;1,54152E-01;1,67813E-01;1,79405E-01;1,94449E-01;2,03606E-01;2,13147E-01;2,24814E-01;2,30211E-01;2,45898E-01;2,55421E-01;2,64068E-01;2,71214E-01;2,82341E-01;1,78613E-03;5,13765E-03;8,76177E-03;1,30573E-02;1,75257E-02;2,29025E-02;2,78843E-02;3,39570E-02;3,87996E-02;4,61412E-02;5,17248E-02;5,88067E-02;6,37990E-02;7,10696E-02;7,67714E-02;8,38210E-02;9,16527E-02;9,75842E-02;1,05562E-01;1,09713E-01;1,34489E-04;2,57904E-04;4,70245E-04;7,86961E-04;1,01441E-03;1,38033E-03;1,64425E-03;2,25134E-03;2,44152E-03;3,22664E-03;3,66601E-03;3,86535E-03;4,58141E-03;4,82621E-03;5,89390E-03;6,39784E-03;7,51367E-03;8,13791E-03;9,24899E-03;9,60310E-03;4,79223E-05;1,76035E-04;2,92844E-04;3,08678E-04;4,07163E-04;5,35983E-04;6,70552E-04;6,43833E-04;7,51208E-04;8,74901E-04;9,74034E-04;9,06962E-04;8,02420E-04;9,90546E-04;1,19762E-03;1,14716E-03;9,50670E-04;1,55465E-03;1,18579E-03;1,40183E-03;0,00000E+00;4,13336E-07;0,00000E+00;0,00000E+00;1,99459E-07;0,00000E+00;1,83072E-06;2,58558E-06;3,00757E-04;1,11578E-04;2,10683E-04;3,84541E-04;3,60507E-04;3,66144E-06;0,00000E+00;5,68444E-05;0,00000E+00;3,56045E-04;7,24062E-06;0,00000E+00;3,97437E-06;0,00000E+00;4,71140E-06;6,53828E-07;0,00000E+00;0,00000E+00;9,61352E-05;5,92042E-05;0,00000E+00;0,00000E+00;0,00000E+00;1,44726E-04;5,23063E-07;3,91341E-04;1,68237E-04;5,58169E-04;6,28379E-07;0,00000E+00;0,00000E+00;4,38321E-06;2,98850E-07;3,86787E-05;6,02264E-06;0,00000E+00;3,10865E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;7,85829E-06;0,00000E+00;1,90141E-04;0,00000E+00;8,21887E-05;0,00000E+00;0,00000E+00;1,04613E-06;0,00000E+00;1,20169E-04;1,32186E-04
478;1,47170E-02;3,51160E-02;5,40996E-02;7,27025E-02;9,01359E-02;1,07681E-01;1,22619E-01;1,40308E-01;1,54383E-01;1,71587E-01;1,88599E-01;2,01652E-01;2,15738E-01;2,29286E-01;2,41272E-01;2,57537E-01;2,70487E-01;2,84806E-01;2,98923E-01;3,08696E-01;1,90504E-02;4,39194E-02;6,57679E-02;8,39504E-02;1,01351E-01;1,15798E-01;1,29337E-01;1,43090E-01;1,54935E-01;1,68844E-01;1,78052E-01;1,92228E-01;1,99657E-01;2,09302E-01;2,19308E-01;2,26179E-01;2,39548E-01;2,43556E-01;2,54421E-01;2,64183E-01;2,05017E-03;5,83161E-03;9,98583E-03;1,51171E-02;2,02773E-02;2,56352E-02;3,20582E-02;3,85574E-02;4,47732E-02;5,25785E-02;5,93472E-02;6,61707E-02;7,33268E-02;8,00524E-02;8,77660E-02;9,45103E-02;1,02703E-01;1,10304E-01;1,17573E-01;1,24290E-01;1,57557E-04;3,00722E-04;5,90506E-04;8,70391E-04;1,13583E-03;1,40131E-03;1,91514E-03;2,44837E-03;2,78991E-03;3,54426E-03;3,90786E-03;4,85109E-03;5,21900E-03;6,10936E-03;6,40747E-03;7,48815E-03;8,16793E-03;8,75034E-03;9,86283E-03;1,10618E-02;7,11561E-05;1,63332E-04;3,04668E-04;3,49632E-04;3,63179E-04;5,72929E-04;6,45075E-04;7,67054E-04;7,19099E-04;9,08573E-04;8,70043E-04;8,72398E-04;8,52225E-04;1,28159E-03;1,34504E-03;1,28688E-03;1,26793E-03;1,39379E-03;1,46364E-03;1,24813E-03;1,27666E-05;0,00000E+00;0,00000E+00;4,20567E-05;0,00000E+00;1,72429E-04;0,00000E+00;6,67543E-05;1,98361E-04;9,41771E-05;0,00000E+00;2,43429E-04;4,32140E-06;2,84001E-04;0,00000E+00;7,19693E-05;0,00000E+00;4,61935E-05;1,79460E-05;0,00000E+00;0,00000E+00;0,00000E+00;7,15800E-05;0,00000E+00;4,76345E-06;0,00000E+00;3,32500E-05;6,04895E-05;3,49157E-05;0,00000E+00;0,00000E+00;1,72856E-05;6,34998E-05;0,00000E+00;0,00000E+00;6,06520E-04;4,46600E-04;0,00000E+00;1,08713E-04;0,00000E+00;0,00000E+00;1,32469E-06;2,77798E-05;0,00000E+00;4,09667E-05;0,00000E+00;0,00000E+00;0,00000E+00;5,95133E-05;1,55426E-05;5,58494E-05;0,00000E+00;0,00000E+00;2,18695E-05;0,00000E+00;0,00000E+00;2,37677E-05;2,16070E-06;3,04286E-05;8,11430E-05
479;1,43271E-02;3,44318E-02;5,33393E-02;7,11244E-02;8,93992E-02;1,06876E-01;1,22493E-01;1,38630E-01;1,54770E-01;1,69769E-01;1,85226E-01;2,01896E-01;2,14973E-01;2,28674E-01;2,43536E-01;2,57179E-01;2,70245E-01;2,84455E-01;2,97049E-01;3,08701E-01;1,78949E-02;4,14079E-02;6,11472E-02;7,80402E-02;9,36543E-02;1,08231E-01;1,19933E-01;1,30629E-01;1,44922E-01;1,54089E-01;1,65785E-01;1,74758E-01;1,83642E-01;1,93595E-01;2,01410E-01;2,10592E-01;2,20835E-01;2,27478E-01;2,35418E-01;2,40016E-01;2,38142E-03;6,62810E-03;1,17346E-02;1,70070E-02;2,34099E-02;2,97550E-02;3,71507E-02;4,39464E-02;5,05890E-02;5,93333E-02;6,64948E-02;7,39933E-02;8,19881E-02;9,02092E-02;9,89997E-02;1,07136E-01;1,15779E-01;1,22295E-01;1,30975E-01;1,39365E-01;1,18866E-04;3,18160E-04;6,31635E-04;9,69841E-04;1,31634E-03;1,83144E-03;2,15295E-03;2,95474E-03;3,16797E-03;3,62934E-03;4,36521E-03;5,22211E-03;6,02015E-03;7,02455E-03;7,29169E-03;8,60022E-03;9,32903E-03;1,08308E-02;1,08411E-02;1,21453E-02;7,17076E-05;1,82393E-04;2,72804E-04;4,05332E-04;4,83257E-04;5,36605E-04;5,68774E-04;8,15099E-04;7,74139E-04;7,67173E-04;1,03399E-03;9,78246E-04;1,23036E-03;1,15965E-03;1,03673E-03;1,17814E-03;1,24103E-03;1,44162E-03;1,33471E-03;1,59705E-03;7,66008E-06;0,00000E+00;0,00000E+00;2,43331E-05;5,91779E-05;0,00000E+00;0,00000E+00;2,82623E-04;1,04215E-04;0,00000E+00;0,00000E+00;0,00000E+00;5,18895E-05;6,39010E-05;2,05880E-05;1,07955E-05;2,27649E-05;1,64347E-04;1,27032E-04;1,46038E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,69474E-05;0,00000E+00;8,72033E-05;0,00000E+00;1,24223E-04;1,01974E-04;0,00000E+00;1,43657E-04;1,72004E-04;0,00000E+00;0,00000E+00;1,04976E-05;4,61758E-04;1,96739E-04;0,00000E+00;1,52995E-04;0,00000E+00;4,71298E-06;0,00000E+00;0,00000E+00;2,73586E-05;0,00000E+00;2,28218E-06;4,56436E-06;4,09337E-05;7,91758E-05;1,45227E-04;0,00000E+00;0,00000E+00;8,93567E-05;0,00000E+00;0,00000E+00;1,66719E-04;7,68735E-06;5,47723E-05;0,00000E+00
