x;0,3296;0,3300;0,3301;0,3304;0,3305;0,3305;0,3308;0,3307;0,3308;0,3309;0,3309;0,3309;0,3310;0,3310;0,3311;0,3313;0,3312;0,3311;0,3313;0,3314;0,7185;0,7203;0,7190;0,7188;0,7208;0,7184;0,7203;0,7184;0,7198;0,7194;0,7204;0,7190;0,7203;0,7192;0,7188;0,7204;0,7201;0,7193;0,7195;0,7204;0,6002;0,6305;0,6646;0,6182;0,6757;0,6497;0,6707;0,6769;0,6860;0,6844;0,6968;0,6858;0,6699;0,6742;0,6871;0,6878;0,6981;0,7041;0,6915;0,6962
y;0,3433;0,3439;0,3443;0,3447;0,3450;0,3452;0,3454;0,3457;0,3457;0,3457;0,3461;0,3460;0,3461;0,3462;0,3464;0,3466;0,3466;0,3465;0,3468;0,3467;0,2780;0,2769;0,2774;0,2773;0,2779;0,2780;0,2780;0,2774;0,2782;0,2774;0,2783;0,2771;0,2784;0,2770;0,2776;0,2782;0,2780;0,2779;0,2782;0,2777;0,2639;0,3052;0,2895;0,2704;0,2824;0,2726;0,2875;0,2805;0,2860;0,2709;0,2722;0,2706;0,2716;0,2767;0,2749;0,2721;0,2764;0,2766;0,2816;0,2817
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];4,97711E+01;1,20087E+02;1,89721E+02;2,59388E+02;3,27194E+02;3,94047E+02;4,60016E+02;5,25129E+02;5,90107E+02;6,53549E+02;7,15528E+02;7,78760E+02;8,40067E+02;9,01495E+02;9,62319E+02;1,02910E+03;1,08904E+03;1,14751E+03;1,20599E+03;1,26225E+03;4,65306E+00;1,10195E+01;1,74381E+01;2,40250E+01;3,03320E+01;3,68225E+01;4,32456E+01;4,97338E+01;5,61372E+01;6,25604E+01;6,89696E+01;7,56721E+01;8,20030E+01;8,83923E+01;9,46419E+01;1,00953E+02;1,07522E+02;1,13829E+02;1,19963E+02;1,25959E+02;1,56200E-01;6,00675E-01;1,11865E+00;1,70173E+00;2,25591E+00;2,86116E+00;3,45704E+00;4,06780E+00;4,68250E+00;5,33053E+00;5,99021E+00;6,65834E+00;7,36132E+00;8,03232E+00;8,68606E+00;9,39311E+00;1,01241E+01;1,08240E+01;1,15437E+01;1,22325E+01
Ephot (301..400nm) [umol/s sqm];3,83914E-02;6,27311E-02;9,94512E-02;1,25366E-01;1,36030E-01;1,65858E-01;2,51322E-01;2,31096E-01;2,32743E-01;3,31767E-01;3,35884E-01;4,02143E-01;4,57110E-01;4,60366E-01;5,13089E-01;4,95656E-01;5,21081E-01;7,17155E-01;7,48543E-01;8,52141E-01;3,67694E-03;3,00360E-03;1,47953E-02;2,68431E-02;1,52937E-02;5,19037E-02;4,42584E-02;4,66982E-02;4,22189E-02;5,73460E-02;5,97184E-02;7,86655E-02;7,98115E-02;7,84150E-02;8,62166E-02;9,93616E-02;1,17772E-01;1,93801E-01;8,49948E-02;1,27153E-01;2,86806E-03;5,32333E-03;8,20460E-03;1,83745E-02;1,45456E-02;2,08809E-02;2,81534E-02;2,34317E-02;2,49283E-02;1,46199E-02;3,81531E-02;2,99335E-02;3,03603E-02;2,96725E-02;5,69452E-02;6,67417E-02;2,10164E-02;1,61950E-02;6,53118E-02;6,10730E-02
Ephot (401..500nm) [umol/s sqm];1,32086E+01;3,16971E+01;4,98917E+01;6,79770E+01;8,55648E+01;1,02873E+02;1,19852E+02;1,36552E+02;1,53331E+02;1,69619E+02;1,85527E+02;2,01862E+02;2,17529E+02;2,33220E+02;2,48692E+02;2,65636E+02;2,80907E+02;2,96137E+02;3,10789E+02;3,25230E+02;2,27713E-03;6,95351E-03;1,15306E-02;1,53867E-02;9,26558E-03;2,80802E-02;1,37535E-02;4,06670E-02;2,69675E-02;3,31237E-02;2,72904E-02;4,72598E-02;2,49941E-02;4,89044E-02;5,74554E-02;2,94465E-02;3,33743E-02;6,23807E-02;6,12249E-02;5,13873E-02;1,69990E-03;3,34663E-03;4,34068E-03;1,14915E-02;7,13878E-03;1,45661E-02;1,26536E-02;1,32149E-02;1,00995E-02;1,51540E-02;1,06587E-02;1,58431E-02;2,67365E-02;2,02287E-02;2,09784E-02;1,80601E-02;1,39317E-02;1,69836E-02;1,72352E-02;1,30381E-02
Ephot (501..600nm) [umol/s sqm];2,27511E+01;5,50980E+01;8,72916E+01;1,19581E+02;1,51067E+02;1,82280E+02;2,13006E+02;2,43522E+02;2,73871E+02;3,03497E+02;3,32636E+02;3,62311E+02;3,91019E+02;4,20052E+02;4,48515E+02;4,80150E+02;5,08446E+02;5,36083E+02;5,63410E+02;5,89981E+02;5,79608E-03;5,58428E-03;1,90375E-02;2,32298E-02;2,34203E-02;4,08724E-02;3,44259E-02;4,43803E-02;5,35354E-02;4,93610E-02;6,19607E-02;5,22159E-02;8,19192E-02;5,51263E-02;8,63758E-02;8,53994E-02;8,72500E-02;1,00944E-01;1,04826E-01;7,98341E-02;1,49667E-03;6,70823E-03;6,61190E-03;1,11069E-02;8,47859E-03;1,33000E-02;1,73309E-02;1,54662E-02;1,83163E-02;1,22286E-02;1,15202E-02;1,54092E-02;2,26747E-02;2,66484E-02;2,39802E-02;1,91447E-02;2,08479E-02;2,02361E-02;3,19759E-02;3,47837E-02
Ephot (601..700nm) [umol/s sqm];1,38105E+01;3,32908E+01;5,25355E+01;7,18251E+01;9,05547E+01;1,08892E+02;1,27152E+02;1,45049E+02;1,62898E+02;1,80427E+02;1,97358E+02;2,14574E+02;2,31508E+02;2,48205E+02;2,65102E+02;2,83311E+02;2,99670E+02;3,15270E+02;3,31783E+02;3,47025E+02;4,64499E+00;1,10069E+01;1,74074E+01;2,39864E+01;3,02984E+01;3,67535E+01;4,31971E+01;4,96476E+01;5,60567E+01;6,24779E+01;6,88793E+01;7,55727E+01;8,18955E+01;8,82882E+01;9,44975E+01;1,00838E+02;1,07402E+02;1,13664E+02;1,19797E+02;1,25827E+02;1,53003E-01;5,90620E-01;1,10741E+00;1,67889E+00;2,23974E+00;2,83318E+00;3,42683E+00;4,03912E+00;4,65409E+00;5,30314E+00;5,96803E+00;6,62709E+00;7,31134E+00;7,98544E+00;8,64102E+00;9,35584E+00;1,00892E+01;1,07865E+01;1,14945E+01;1,21847E+01
Ephot (701..800nm) [umol/s sqm];1,02760E+00;2,44758E+00;3,85584E+00;5,27345E+00;6,64328E+00;7,96016E+00;9,31814E+00;1,06676E+01;1,20126E+01;1,32389E+01;1,45432E+01;1,58026E+01;1,72049E+01;1,83412E+01;1,95667E+01;2,09718E+01;2,22426E+01;2,31721E+01;2,46424E+01;2,56716E+01;1,84613E-02;4,26135E-02;8,33813E-02;1,21705E-01;1,31893E-01;1,65078E-01;1,90223E-01;2,59152E-01;2,92874E-01;3,10253E-01;3,83521E-01;4,57039E-01;4,30178E-01;4,95585E-01;5,72717E-01;5,56080E-01;6,64305E-01;7,13895E-01;7,24781E-01;8,49831E-01;2,13316E+00;7,99280E+00;1,44734E+01;2,09719E+01;2,72186E+01;3,33805E+01;3,94505E+01;4,53752E+01;5,12766E+01;5,71598E+01;6,28603E+01;6,84290E+01;7,40567E+01;7,95932E+01;8,50019E+01;9,03844E+01;9,57385E+01;1,00835E+02;1,06002E+02;1,11026E+02
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
