x;0,3334;0,3334;0,3338;0,3341;0,3342;0,3343;0,3343;0,3343;0,3345;0,3346;0,3347;0,3348;0,3347;0,3347;0,3349;0,3348;0,3350;0,3348;0,3348;0,3349;0,7092;0,7194;0,7202;0,7165;0,7176;0,7175;0,7182;0,7195;0,7194;0,7172;0,7172;0,7192;0,7197;0,7190;0,7194;0,7192;0,7199;0,7187;0,7191;0,7191;0,6513;0,6735;0,7152;0,6721;0,6833;0,6880;0,6789;0,6934;0,6901;0,7082;0,6530;0,6862;0,7035;0,6986;0,6654;0,6933;0,6945;0,6897;0,6916;0,6642
y;0,3481;0,3487;0,3491;0,3496;0,3501;0,3503;0,3503;0,3506;0,3509;0,3511;0,3513;0,3513;0,3514;0,3514;0,3519;0,3516;0,3519;0,3518;0,3517;0,3517;0,2789;0,2777;0,2774;0,2780;0,2785;0,2770;0,2778;0,2787;0,2777;0,2774;0,2780;0,2776;0,2782;0,2785;0,2778;0,2772;0,2780;0,2784;0,2779;0,2775;0,2679;0,2911;0,2820;0,2701;0,2848;0,2826;0,2655;0,2758;0,2750;0,2754;0,2776;0,2745;0,2789;0,2737;0,2651;0,2764;0,2701;0,2687;0,2733;0,2739
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Begin [nm];400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400;400
End [nm];700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700;700
Ephot (Begin..End) [umol/s sqm];3,31547E+01;8,14408E+01;1,28917E+02;1,76478E+02;2,22348E+02;2,67767E+02;3,12375E+02;3,55788E+02;3,99138E+02;4,42398E+02;4,84407E+02;5,25890E+02;5,66259E+02;6,06836E+02;6,47088E+02;6,86560E+02;7,25475E+02;7,62848E+02;7,99508E+02;8,37400E+02;2,44149E+00;5,98083E+00;9,58604E+00;1,32736E+01;1,68984E+01;2,05077E+01;2,41029E+01;2,77036E+01;3,12093E+01;3,49321E+01;3,84861E+01;4,20161E+01;4,55040E+01;4,90717E+01;5,26114E+01;5,61299E+01;5,96137E+01;6,30817E+01;6,64644E+01;6,98527E+01;1,84679E-01;4,46582E-01;7,20433E-01;1,01934E+00;1,32019E+00;1,61933E+00;1,92596E+00;2,25320E+00;2,58553E+00;2,91020E+00;3,28299E+00;3,60509E+00;3,93857E+00;4,29227E+00;4,65806E+00;5,00709E+00;5,37702E+00;5,75036E+00;6,12130E+00;6,50141E+00
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
300;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;9,63168E-05;5,82131E-04;0,00000E+00;1,42010E-04;2,06409E-04;3,17147E-04;0,00000E+00;2,73116E-04;1,08219E-03;3,91671E-03;7,22774E-04;1,13608E-03;2,71040E-03;3,07179E-03;2,13014E-04;9,46493E-04;7,20086E-06;0,00000E+00;9,19071E-05;0,00000E+00;2,77956E-04;0,00000E+00;0,00000E+00;1,33929E-04;0,00000E+00;1,72300E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;7,15020E-04;1,35520E-03;0,00000E+00;2,67859E-04;2,13014E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,16140E-04;4,75585E-05;0,00000E+00;0,00000E+00;3,61387E-04;4,43780E-05;2,23481E-04;4,15226E-04;4,43060E-05;0,00000E+00;2,11383E-04;6,69632E-05;1,50202E-04;2,85895E-05;3,41303E-04;0,00000E+00
301;0,00000E+00;3,14533E-04;4,59488E-05;0,00000E+00;0,00000E+00;6,14225E-05;3,43127E-04;2,28752E-04;0,00000E+00;1,75154E-03;0,00000E+00;5,47450E-04;1,08116E-04;5,31712E-03;3,05003E-03;0,00000E+00;2,85983E-04;2,38288E-03;0,00000E+00;6,55324E-05;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,93280E-05;0,00000E+00;4,95562E-05;4,76639E-06;5,14691E-04;0,00000E+00;0,00000E+00;1,64569E-04;2,64922E-04;0,00000E+00;7,54441E-05;1,42992E-04;0,00000E+00;4,67036E-04;0,00000E+00;0,00000E+00;0,00000E+00;6,82091E-05;0,00000E+00;0,00000E+00;1,42947E-04;0,00000E+00;0,00000E+00;4,89790E-04;3,81311E-05;0,00000E+00;9,53278E-06;8,43907E-06;0,00000E+00;0,00000E+00;8,01175E-05;7,06550E-06;0,00000E+00;7,82891E-04;3,60120E-05;0,00000E+00
302;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;2,10894E-05;9,62388E-04;0,00000E+00;0,00000E+00;0,00000E+00;1,38884E-04;1,03610E-03;3,43332E-04;1,00759E-04;2,68413E-03;4,23202E-03;0,00000E+00;6,34804E-04;0,00000E+00;0,00000E+00;0,00000E+00;5,51840E-06;0,00000E+00;4,30402E-04;0,00000E+00;4,00167E-04;0,00000E+00;0,00000E+00;6,99619E-05;3,88677E-05;8,98574E-04;3,10528E-05;8,37271E-04;0,00000E+00;0,00000E+00;6,51252E-04;0,00000E+00;0,00000E+00;6,34804E-04;2,11601E-03;2,06128E-04;9,93252E-06;1,89286E-05;0,00000E+00;6,60017E-05;8,88252E-06;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;1,85151E-04;6,99619E-05;4,12900E-05;1,32036E-04;0,00000E+00;0,00000E+00;3,92087E-05;8,13851E-05;2,98198E-04;3,26290E-05;0,00000E+00
303;0,00000E+00;0,00000E+00;0,00000E+00;5,96825E-05;1,08075E-04;1,28340E-04;2,78518E-04;2,78518E-04;0,00000E+00;7,11731E-04;3,33981E-04;1,80565E-04;9,03147E-04;6,85892E-04;1,51196E-03;0,00000E+00;2,38730E-04;8,75343E-04;6,36613E-04;1,27644E-03;3,63500E-05;0,00000E+00;1,25074E-04;0,00000E+00;4,90236E-05;2,08659E-04;1,37914E-04;3,78424E-04;1,99183E-04;3,13788E-04;1,59134E-04;0,00000E+00;0,00000E+00;0,00000E+00;3,14892E-04;0,00000E+00;0,00000E+00;1,98942E-04;1,19365E-04;4,47401E-04;5,09006E-05;3,32194E-05;0,00000E+00;8,40435E-05;2,10329E-04;0,00000E+00;0,00000E+00;0,00000E+00;0,00000E+00;5,96825E-05;4,67947E-04;3,99455E-04;0,00000E+00;3,84518E-04;0,00000E+00;2,21177E-04;0,00000E+00;4,80613E-05;1,67212E-04;5,15126E-05
