timestamp,Lamp 1_%,Lamp 2_%,Lamp 3_%,Lamp 4_%,Lamp 5_%,Lamp 6_%
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:05:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:10:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:20:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:25:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:35:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:40:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:50:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:55:00,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:05:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:10:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:15:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:20:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:25:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:30:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:35:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:40:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:45:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:50:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 01:55:00,332.3738241907953,209.50999585889923,1168.8720840389935,951.3766591768886,86.06908380722749,3.1713956255702898
2024-01-01 02:00:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:05:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:10:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:15:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:20:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:25:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:30:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
2024-01-01 02:35:00,659.0606400982523,415.4352176015075,2317.7444426475126,1886.4749999438193,170.66550172765506,6.28852779271009
